price_aprox_usd,surface_covered_in_m2,lat,lon,neighborhood
129000.0,70.0,-34.5846508988,-58.4546932614,Chacarita
87000.0,42.0,-34.6389789,-58.500115,Villa Luro
118000.0,54.0,-34.615847,-58.459957,Caballito
57000.0,42.0,-34.6252219,-58.3823825,Constitución
90000.0,50.0,-34.6106102,-58.4125107,Once
138000.0,74.0,-34.6038236,-58.4272911,Almagro
114000.0,32.0,-34.586103,-58.423963,Palermo
82000.0,50.0,-34.6265182557,-58.4724630529,Flores
166000.0,52.0,-34.5620844,-58.4566864,Belgrano
136500.0,71.0,-34.648143,-58.524277,Liniers
75000.0,36.0,-34.596715,-58.444045,Villa Crespo
68000.0,37.0,-34.599722,-58.430668,Villa Crespo
80000.0,55.0,-34.616182,-58.3926968,San Cristobal
125000.0,74.0,-34.6034659,-58.4159718,Almagro
120000.0,60.0,-34.6136992,-58.3897597,Congreso
145000.0,52.0,-34.5475074,-58.4842066,Saavedra
95000.0,57.0,-34.6087015,-58.4039197,Balvanera
155000.0,55.0,-34.5975665,-58.4410115,Villa Crespo
300000.0,90.0,-34.5670929999,-58.4470949374,Belgrano
95000.0,44.0,-34.645401,-58.4931185,Parque Avellaneda
82000.0,33.0,-34.6198687,-58.4242176,Almagro
129000.0,72.0,-34.618545,-58.443838,Caballito
280000.0,98.0,-34.5933599,-58.4124669,Recoleta
118885.0,35.0,-34.5620844,-58.4566864,Belgrano
190000.0,55.0,-34.5892291,-58.3909376,Recoleta
157000.0,74.0,-34.6206701,-58.4280921,Caballito
119000.0,50.0,-34.617869,-58.422687,Almagro
290000.0,82.0,-34.5972390007,-58.3975515537,Recoleta
149000.0,76.0,-34.6044029,-58.418703,Almagro
199000.0,63.0,-34.5628985,-58.4652556,Belgrano
74400.0,31.0,-34.6171601,-58.4566753,Caballito
130000.0,70.0,-34.624943,-58.416152,Almagro
140000.0,83.0,-34.5995053,-58.4019575,Barrio Norte
179869.0,71.0,-34.61098,-58.417856,Almagro
89000.0,33.0,-34.554535,-58.455713,Belgrano
